Warnings with flags (1791):
  backslash_newline_space [-Wbackslash-newline-escape]
  err_call_operator_overload_static [-Wc++2b-extensions]
  err_func_returning_qualified_void [-Wqualified-void-return-type]
  err_static_lambda [-Wc++2b-extensions]
  escaped_newline_block_comment_end [-Wcomment]
  ext_abstract_pack_declarator_parens [-Wanonymous-pack-parens]
  ext_adl_only_template_id [-Wc++20-extensions]
  ext_aggregate_init_not_constant [-Wc99-extensions]
  ext_alias_declaration [-Wc++11-extensions]
  ext_alias_in_init_statement [-Wc++2b-extensions]
  ext_alignof_expr [-Wgnu-alignof-expression]
  ext_anonymous_record_with_anonymous_type [-Wnested-anon-types]
  ext_anonymous_record_with_type [-Wmicrosoft-anon-tag]
  ext_anonymous_struct_union_qualified [-Wpedantic]
  ext_anonymous_union [-Wc11-extensions]
  ext_array_init_copy [-Wgnu-compound-literal-initializer]
  ext_array_init_parens [-Wgnu-array-member-paren-init]
  ext_array_size_conversion [-Wc++11-extensions]
  ext_auto_new_list_init [-Wc++17-extensions]
  ext_auto_storage_class [-Wauto-storage-class]
  ext_auto_type [-Wgnu-auto-type]
  ext_auto_type_specifier [-Wc++11-extensions]
  ext_bad_cxx_cast_qualifiers_away_incoherent [-Wcast-qual-unrelated]
  ext_binary_literal [-Wgnu-binary-literal]
  ext_binary_literal_cxx14 [-Wc++14-binary-literal]
  ext_bit_int [-Wbit-int-extension]
  ext_bitfield_member_init [-Wc++20-extensions]
  ext_c11_anonymous_struct [-Wc11-extensions]
  ext_c11_feature [-Wc11-extensions]
  ext_c2x_bitint_suffix [-Wc2x-extensions]
  ext_c2x_pp_directive [-Wc2x-extensions]
  ext_c99_array_usage [-Wc99-extensions]
  ext_c99_compound_literal [-Wc99-extensions]
  ext_c99_feature [-Wc99-extensions]
  ext_c99_flexible_array_member [-Wc99-extensions]
  ext_c99_longlong [-Wlong-long]
  ext_c99_variable_decl_in_for_loop [-Wc99-extensions]
  ext_c99_whitespace_required_after_macro_name [-Wc99-extensions]
  ext_c_label_end_of_compound_statement [-Wc2x-extensions]
  ext_c_nullptr [-Wc2x-extensions]
  ext_c_static_assert_no_message [-Wc2x-extensions]
  ext_cannot_use_trivial_abi [-Wignored-attributes]
  ext_capture_binding [-Wc++20-extensions]
  ext_cast_fn_obj [-Wpedantic]
  ext_cce_narrowing [-Wc++11-narrowing]
  ext_charize_microsoft [-Wmicrosoft-charize]
  ext_clang_c_enum_fixed_underlying_type [-Wfixed-enum-extension]
  ext_clang_diagnose_if [-Wgcc-compat]
  ext_clang_enable_if [-Wgcc-compat]
  ext_comment_paste_microsoft [-Wmicrosoft-comment-paste]
  ext_complex_component_init [-Wcomplex-component-init]
  ext_concept_legacy_bool_keyword [-Wconcepts-ts-compat]
