Warnings with flags (1791):
  ext_typecheck_base_super [-Wsuper-class-method-mismatch]
  pp_disabled_macro_expansion [-Wdisabled-macro-expansion]
  pp_macro_not_used [-Wunused-macros]
  pp_nonportable_system_path [-Wnonportable-system-include-path]
  warn_abstract_vbase_init_ignored [-Wabstract-vbase-init]
  warn_alloca [-Walloca]
  warn_arc_possible_repeated_use_of_weak [-Warc-maybe-repeated-use-of-weak]
  warn_arc_repeated_use_of_weak [-Warc-repeated-use-of-weak]
  warn_arc_strong_pointer_objc_pointer [-Wexplicit-ownership-type]
  warn_arith_conv_mixed_anon_enum_types [-Wanon-enum-enum-conversion]
  warn_atomic_implicit_seq_cst [-Watomic-implicit-seq-cst]
  warn_attr_on_unconsumable_class [-Wconsumed]
  warn_attribute_dll_instantiated_base_class [-Wunsupported-dll-base-class-template]
  warn_auto_implicit_atomic_property [-Wimplicit-atomic-properties]
  warn_bad_function_cast [-Wbad-function-cast]
  warn_cast_function_type [-Wcast-function-type]
  warn_cast_function_type_strict [-Wcast-function-type-strict]
  warn_cast_qual [-Wcast-qual]
  warn_cast_qual2 [-Wcast-qual]
  warn_comma_operator [-Wcomma]
  warn_completion_handler_called_twice [-Wcompletion-handler]
  warn_completion_handler_never_called [-Wcompletion-handler]
  warn_completion_handler_never_called_when [-Wcompletion-handler]
  warn_compound_token_split_by_whitespace [-Wcompound-token-split-by-space]
  warn_condition_is_idiomatic_assignment [-Widiomatic-parentheses]
  warn_ctad_maybe_unsupported [-Wctad-maybe-unsupported]
  warn_ctor_parm_shadows_field [-Wshadow-field-in-constructor]
  warn_decl_shadow_uncaptured_local [-Wshadow-uncaptured-local]
  warn_def_missing_case [-Wswitch-enum]
  warn_default_atomic_custom_getter_setter [-Wcustom-atomic-properties]
  warn_deprecated_copy_with_dtor [-Wdeprecated-copy-with-dtor]
  warn_deprecated_copy_with_user_provided_dtor [-Wdeprecated-copy-with-user-provided-dtor]
  warn_deprecated_def [-Wdeprecated-implementations]
  warn_deprecated_redundant_constexpr_static_def [-Wdeprecated]
  warn_deprecated_this_capture [-Wdeprecated-this-capture]
  warn_direct_ivar_access [-Wdirect-ivar-access]
  warn_drv_unable_to_find_directory_expected [-Winvalid-or-nonexistent-directory]
  warn_duplicate_enum_values [-Wduplicate-enum]
  warn_duplicate_method_decl [-Wduplicate-method-match]
  warn_exception_spec_deprecated [-Wdeprecated-dynamic-exception-spec]
  warn_exit_time_destructor [-Wexit-time-destructors]
  warn_extra_semi_after_mem_fn_def [-Wextra-semi]
  warn_floatingpoint_eq [-Wfloat-equal]
  warn_for_range_ref_binds_ret_temp [-Wrange-loop-bind-reference]
  warn_format_argument_needs_cast_pedantic [-Wformat-pedantic]
  warn_format_conversion_argument_type_mismatch_confusion [-Wformat-type-confusion]
  warn_format_non_standard [-Wformat-non-iso]
  warn_format_non_standard_conversion_spec [-Wformat-non-iso]
  warn_format_non_standard_positional_arg [-Wformat-non-iso]
  warn_format_nonliteral [-Wformat-nonliteral]
  warn_four_char_character_literal [-Wfour-char-constants]
  warn_func_template_missing [-Wundefined-func-template]
  warn_global_constructor [-Wglobal-constructors]
  warn_global_destructor [-Wglobal-constructors]
  warn_impcast_double_promotion [-Wdouble-promotion]
  warn_implicit_atomic_property [-Wimplicit-atomic-properties]
  warn_implicitly_retains_self [-Wimplicit-retain-self]
  warn_incompatible_vectors [-Wvector-conversion]
  warn_inconsistent_destructor_marked_not_override_overriding [-Winconsistent-missing-destructor-override]
  warn_ivars_in_interface [-Wobjc-interface-ivars]
  warn_loop_state_mismatch [-Wconsumed]
  warn_max_tokens [-Wmax-tokens]
  warn_max_tokens_total [-Wmax-tokens]
  warn_maybe_uninit_var [-Wconditional-uninitialized]
  warn_messaging_unqualified_id [-Wobjc-messaging-id]
  warn_method_param_declaration [-Wduplicate-method-arg]
  warn_missing_explicit_synthesis [-Wobjc-missing-property-synthesis]
  warn_missing_prototype [-Wmissing-prototypes]
  warn_missing_variable_declarations [-Wmissing-variable-declarations]
  warn_mixed_decls_code [-Wdeclaration-after-statement]
  warn_multiple_selectors [-Wselector-type-mismatch]
  warn_no_newline_eof [-Wnewline-eof]
  warn_no_underlying_type_specified_for_enum_bitfield [-Wsigned-enum-bitfield]
  warn_non_contravariant_param_types [-Wmethod-signatures]
  warn_non_covariant_ret_types [-Wmethod-signatures]
  warn_non_modular_include_in_framework_module [-Wnon-modular-include-in-framework-module]
  warn_non_modular_include_in_module [-Wnon-modular-include-in-module]
  warn_not_in_enum_assignment [-Wassign-enum]
  warn_null_statement [-Wextra-semi-stmt]
  warn_nullability_lost [-Wnullable-to-nonnull-conversion]
  warn_objc_cdirective_format_string [-Wcstring-format-directive]
  warn_objc_property_assign_on_object [-Wobjc-property-assign-on-object-type]
  warn_opencl_unsupported_core_feature [-Wpedantic-core-features]
  warn_overaligned_type [-Wover-aligned]
  warn_padded_struct_anon_field [-Wpadded]
  warn_padded_struct_field [-Wpadded]
  warn_padded_struct_size [-Wpadded]
  warn_param_return_typestate_mismatch [-Wconsumed]
  warn_param_typestate_mismatch [-Wconsumed]
  warn_pass_class_arg_to_vararg [-Wclass-varargs]
  warn_pointer_indirection_from_incompatible_type [-Wundefined-reinterpret-cast]
  warn_poison_system_directories [-Wpoison-system-directories]
  warn_pp_date_time [-Wdate-time]
  warn_pp_macro_is_reserved_id [-Wreserved-macro-identifier]
  warn_pp_undef_identifier [-Wundef]
  warn_pp_undef_prefix [-Wundef-prefix]
  warn_pragma_extension_is_core [-Wpedantic-core-features]
  warn_pragma_omp_ignored [-Wsource-uses-openmp]
  warn_pragma_pack_non_default_at_include [-Wpragma-pack-suspicious-include]
  warn_profile_data_missing [-Wprofile-instr-missing]
  warn_ptr_arith_exceeds_bounds [-Warray-bounds-pointer-arithmetic]
  warn_ptr_arith_precedes_bounds [-Warray-bounds-pointer-arithmetic]
  warn_quoted_include_in_framework_header [-Wquoted-include-in-framework-header]
  warn_receiver_forward_instance [-Wreceiver-forward-class]
  warn_redundant_parens_around_declarator [-Wredundant-parens]
  warn_reserved_extern_symbol [-Wreserved-identifier]
  warn_return_typestate_for_unconsumable_type [-Wconsumed]
  warn_return_typestate_mismatch [-Wconsumed]
  warn_sampler_initializer_invalid_bits [-Wspir-compat]
  warn_shadow_field [-Wshadow-field]
  warn_shift_result_sets_sign_bit [-Wshift-sign-overflow]
  warn_strict_multiple_method_decl [-Wstrict-selector-match]
  warn_strict_potentially_direct_selector_expression [-Wstrict-potentially-direct-selector]
  warn_suggest_destructor_marked_not_override_overriding [-Wsuggest-destructor-override]
  warn_suggest_function_marked_not_override_overriding [-Wsuggest-override]
  warn_suggest_noreturn_block [-Wmissing-noreturn]
  warn_suggest_noreturn_function [-Wmissing-noreturn]
  warn_tautological_compare_value_range [-Wtautological-value-range-compare]
  warn_tautological_constant_compare [-Wtautological-type-limit-compare]
  warn_typecheck_convert_incompatible_function_pointer_strict [-Wincompatible-function-pointer-types-strict]
  warn_unaligned_access [-Wunaligned-access]
  warn_unannotated_fallthrough [-Wimplicit-fallthrough]
  warn_unannotated_fallthrough_per_function [-Wimplicit-fallthrough-per-function]
  warn_unavailable_def [-Wdeprecated-implementations]
  warn_undeclared_selector [-Wundeclared-selector]
  warn_undeclared_selector_with_typo [-Wundeclared-selector]
  warn_undefined_reinterpret_cast [-Wundefined-reinterpret-cast]
  warn_unguarded_availability [-Wunguarded-availability]
  warn_unimplemented_selector [-Wselector]
  warn_unnecessary_packed [-Wpacked]
  warn_unneeded_member_function [-Wunneeded-member-function]
  warn_unpacked_field [-Wpacked-non-pod]
  warn_unreachable [-Wunreachable-code]
  warn_unreachable_break [-Wunreachable-code-break]
  warn_unreachable_default [-Wcovered-switch-default]
  warn_unreachable_fallthrough_attr [-Wunreachable-code-fallthrough]
  warn_unreachable_loop_increment [-Wunreachable-code-loop-increment]
  warn_unreachable_return [-Wunreachable-code-return]
  warn_unsigned_always_true_comparison [-Wtautological-unsigned-zero-compare]
  warn_unsigned_char_always_true_comparison [-Wtautological-unsigned-char-zero-compare]
  warn_unsigned_enum_always_true_comparison [-Wtautological-unsigned-enum-zero-compare]
  warn_unused_exception_param [-Wunused-exception-parameter]
  warn_unused_member_function [-Wunused-member-function]
  warn_unused_template [-Wunused-template]
  warn_use_in_invalid_state [-Wconsumed]
  warn_use_of_temp_in_invalid_state [-Wconsumed]
  warn_used_but_marked_unused [-Wused-but-marked-unused]
  warn_using_directive_in_header [-Wheader-hygiene]
  warn_vla_used [-Wvla]
  warn_weak_template_vtable [-Wweak-template-vtables]
  warn_weak_vtable [-Wweak-vtables]
  warn_zero_as_null_pointer_constant [-Wzero-as-null-pointer-constant]
Warnings without flags (66):

STATISTICS:

  Percentage of warnings with flags: 96.45%
  Number of unique flags: 835
  Average number of diagnostics per flag: 2.145
  Number in -Wpedantic (not covered by other -W flags): 26

